IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码,端口
104.24.28.133,4,4,0.00,200.68,0.00,LAX,443
104.25.105.4,4,4,0.00,200.69,0.00,LAX,443
104.26.7.219,4,4,0.00,200.70,0.00,SEA,443
104.17.225.226,4,4,0.00,200.71,0.00,SEA,443
104.20.50.245,4,4,0.00,200.72,0.00,FRA,443
104.25.110.77,4,4,0.00,200.72,0.00,LAX,443
104.21.19.44,4,4,0.00,200.75,0.00,SEA,443
104.21.18.45,4,4,0.00,200.75,0.00,SEA,443
104.21.21.250,4,4,0.00,200.75,0.00,SEA,443
172.67.160.67,4,4,0.00,200.77,0.00,SEA,443
104.19.191.195,4,4,0.00,200.77,0.00,LAX,443
104.19.109.5,4,4,0.00,200.77,0.00,LAX,443
104.24.5.132,4,4,0.00,200.79,0.00,LAX,443
104.26.15.125,4,4,0.00,200.80,0.00,SEA,443
104.27.38.101,4,4,0.00,200.81,0.00,LAX,443
104.26.1.46,4,4,0.00,200.81,0.00,SEA,443
104.25.101.70,4,4,0.00,200.83,0.00,LAX,443
104.16.238.199,4,4,0.00,200.83,0.00,LAX,443
104.25.66.96,4,4,0.00,200.84,0.00,LAX,443
104.19.230.177,4,4,0.00,200.85,0.00,LAX,443
172.67.151.107,4,4,0.00,200.85,0.00,SEA,443
104.19.8.188,4,4,0.00,200.85,0.00,LAX,443
104.18.129.72,4,4,0.00,200.86,0.00,LAX,443
104.18.131.224,4,4,0.00,200.86,0.00,LAX,443
104.18.132.142,4,4,0.00,200.86,0.00,LAX,443
104.25.111.5,4,4,0.00,200.86,0.00,LAX,443
104.25.89.169,4,4,0.00,200.86,0.00,LAX,443
104.21.30.0,4,4,0.00,200.87,0.00,SEA,443
104.18.147.96,4,4,0.00,200.87,0.00,LAX,443
104.17.94.229,4,4,0.00,200.88,0.00,LAX,443
104.17.75.196,4,4,0.00,200.88,0.00,LAX,443
104.18.142.88,4,4,0.00,200.88,0.00,LAX,443
162.159.13.33,4,4,0.00,200.88,0.00,LAX,443
104.21.29.62,4,4,0.00,200.89,0.00,SEA,443
104.21.22.141,4,4,0.00,200.89,0.00,SEA,443
104.21.17.48,4,4,0.00,200.89,0.00,SEA,443
104.21.20.184,4,4,0.00,200.89,0.00,SEA,443
104.18.4.252,4,4,0.00,200.91,0.00,SEA,443
104.17.234.5,4,4,0.00,200.91,0.00,SEA,443
104.17.244.94,4,4,0.00,200.91,0.00,SEA,443
104.17.245.217,4,4,0.00,200.91,0.00,SEA,443
104.26.8.15,4,4,0.00,200.91,0.00,SEA,443
104.16.74.47,4,4,0.00,200.91,0.00,LAX,443
104.16.90.79,4,4,0.00,200.91,0.00,LAX,443
104.16.89.61,4,4,0.00,200.91,0.00,LAX,443
104.16.80.45,4,4,0.00,200.91,0.00,LAX,443
104.17.252.89,4,4,0.00,200.92,0.00,SEA,443
104.17.236.155,4,4,0.00,200.92,0.00,SEA,443
104.17.241.167,4,4,0.00,200.92,0.00,SEA,443
104.19.165.4,4,4,0.00,200.94,0.00,LAX,443
104.19.168.168,4,4,0.00,200.94,0.00,LAX,443
104.19.160.101,4,4,0.00,200.94,0.00,LAX,443
104.20.5.72,4,4,0.00,200.94,0.00,LAX,443
104.26.3.237,4,4,0.00,200.95,0.00,SEA,443
104.26.10.216,4,4,0.00,200.95,0.00,SEA,443
104.26.4.86,4,4,0.00,200.95,0.00,SEA,443
104.26.9.131,4,4,0.00,200.95,0.00,SEA,443
104.26.11.129,4,4,0.00,200.95,0.00,SEA,443
104.18.169.94,4,4,0.00,200.98,0.00,LAX,443
104.25.91.106,4,4,0.00,201.02,0.00,LAX,443
104.25.107.88,4,4,0.00,201.03,0.00,LAX,443
104.24.16.218,4,4,0.00,201.03,0.00,LAX,443
104.24.12.205,4,4,0.00,201.03,0.00,LAX,443
104.17.79.165,4,4,0.00,201.05,0.00,LAX,443
104.18.98.10,4,4,0.00,201.05,0.00,LAX,443
104.18.77.159,4,4,0.00,201.05,0.00,LAX,443
104.17.254.210,4,4,0.00,201.05,0.00,SEA,443
104.19.238.72,4,4,0.00,201.06,0.00,LAX,443
104.17.238.228,4,4,0.00,201.06,0.00,SEA,443
104.24.167.174,4,4,0.00,201.06,0.00,LAX,443
104.21.16.6,4,4,0.00,201.08,0.00,SEA,443
104.18.135.76,4,4,0.00,201.09,0.00,LAX,443
104.19.226.116,4,4,0.00,201.09,0.00,LAX,443
